Date,Name,Year,Letterboxd URI,Rating,Genres,TMDB ID
2023-11-02,The Autopsy of Jane Doe,2016,https://boxd.it/dUu2,4.0,Horror|Mystery,397243.0
2023-11-02,Paranormal Activity,2007,https://boxd.it/1yIM,3.5,Horror|Mystery,23827.0
2023-11-02,Scary Movie 4,2006,https://boxd.it/24B4,3.0,Comedy,4257.0
2023-11-02,Five Nights at Freddy's,2023,https://boxd.it/ikHu,2.5,Horror|Thriller,507089.0
2023-11-02,Train to Busan,2016,https://boxd.it/dSQU,3.5,Action|Horror|Thriller|Adventure,396535.0
2023-11-02,Poison,2023,https://boxd.it/Is7Q,4.0,Comedy|Drama|Thriller,1172676.0
2023-11-02,Host,2020,https://boxd.it/r5O4,4.5,Horror,723072.0
2023-11-02,Snoopy Presents: One-of-a-Kind Marcie,2023,https://boxd.it/GFAW,4.0,Animation|Family|Comedy,1128604.0
2023-11-03,The Conference,2023,https://boxd.it/HV9u,3.0,Horror|Comedy,1161048.0
2023-11-06,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,5.0,Action|Adventure|Science Fiction,545611.0
2023-11-06,Cheaper by the Dozen,2003,https://boxd.it/1USa,3.0,Comedy|Family,11007.0
2023-11-06,Cheaper by the Dozen 2,2005,https://boxd.it/1Yac,2.5,Comedy|Family|Adventure,9641.0
2023-11-06,Me Before You,2016,https://boxd.it/9n98,4.0,Drama|Romance,296096.0
2023-11-06,Crush,2022,https://boxd.it/wuHW,3.5,Comedy|Romance,860159.0
2023-11-09,Saw X,2023,https://boxd.it/zUWk,3.0,Horror|Mystery,951491.0
2023-11-12,Polarized,2023,https://boxd.it/Bipc,2.5,,
2023-11-12,Folklore: The Long Pond Studio Sessions,2020,https://boxd.it/sRk4,5.0,Music|Documentary,768141.0
2023-11-12,Over the Moon,2020,https://boxd.it/kv2Q,4.0,Animation|Adventure|Family|Fantasy,560050.0
2023-11-12,Unlocked,2023,https://boxd.it/rNgA,3.0,Thriller|Crime|Mystery,740441.0
2023-11-14,Sing,2016,https://boxd.it/b5EQ,3.0,Animation|Comedy|Family|Music,335797.0
2023-11-15,The Hunger Games: Catching Fire,2013,https://boxd.it/3sAw,4.5,Adventure|Action|Science Fiction,101299.0
2023-11-16,The Hunger Games: Mockingjay – Part 1,2014,https://boxd.it/4hka,3.5,,
2023-11-18,The Hunger Games: Mockingjay – Part 2,2015,https://boxd.it/4hk0,3.5,,
2023-11-20,Lilo & Stitch,2002,https://boxd.it/1TAY,4.0,Animation|Family|Comedy|Science Fiction,11544.0
2023-11-20,Rookie,2023,https://boxd.it/Hhvg,3.0,Romance|Drama,1144708.0
2023-11-26,Piece of Cake,2022,https://boxd.it/BZJu,4.0,Animation|Romance|Fantasy,1005390.0
2023-11-26,Once Upon a Studio,2023,https://boxd.it/H2gg,5.0,Animation|Family|Fantasy|Drama|Comedy,1139087.0
2023-11-26,Joy Ride,2023,https://boxd.it/wEeK,3.0,Comedy,864168.0
2023-11-28,Quiz Lady,2023,https://boxd.it/tCT6,3.0,Comedy,787781.0
2023-11-28,Ghostbusters,1984,https://boxd.it/g2w,3.5,Comedy|Fantasy,620.0
2023-11-28,The Lego Movie,2014,https://boxd.it/4pDO,4.0,Animation|Family|Adventure|Comedy|Fantasy,137106.0
2023-12-02,Jingle All the Way 2,2014,https://boxd.it/934s,2.0,Family|Comedy,289728.0
2023-12-11,Family Switch,2023,https://boxd.it/u1nu,2.5,Comedy|Fantasy|Family,798021.0
2023-12-26,Taylor Swift: The Eras Tour,2023,https://boxd.it/HTIi,5.0,,
2024-01-07,Saltburn,2023,https://boxd.it/z4eg,3.5,Drama|Comedy|Thriller,930564.0
2024-02-12,Under the Christmas Tree,2021,https://boxd.it/xmMQ,2.5,TV Movie|Romance,883936.0
2024-02-17,A Holiday I Do,2023,https://boxd.it/JaXc,1.5,Romance|Comedy|Drama,1190807.0
2024-02-17,Friends & Family Christmas,2023,https://boxd.it/IMaU,2.0,Family|Romance,1180706.0
2024-02-18,All Too Well: The Short Film,2021,https://boxd.it/xTmc,4.5,Drama|Music,897429.0
2024-03-04,The Proposal,2009,https://boxd.it/1HiS,3.5,Comedy|Romance|Drama,18240.0
2024-03-11,Robot Dreams,2023,https://boxd.it/vBZm,5.0,Animation|Drama|Comedy|Science Fiction,838240.0
2024-03-11,Anatomy of a Fall,2023,https://boxd.it/yuDE,4.5,Thriller|Mystery|Crime,915935.0
2024-03-11,Society of the Snow,2023,https://boxd.it/y9aw,4.0,Drama|History,906126.0
2024-03-11,Poor Things,2023,https://boxd.it/tNWU,4.5,Science Fiction|Romance|Comedy,792307.0
2024-03-11,Past Lives,2023,https://boxd.it/oNB8,4.5,Drama|Romance,666277.0
2024-03-11,Shaolin Soccer,2001,https://boxd.it/1T86,4.0,Action|Comedy,11770.0
2024-03-11,Simón,2023,https://boxd.it/FQ7Y,3.5,Drama,1105832.0
2024-03-11,Anyone But You,2023,https://boxd.it/EzA8,2.5,Romance|Comedy,1072790.0
2024-03-11,To All the Boys I've Loved Before,2018,https://boxd.it/gHec,3.5,Comedy|Romance,466282.0
2024-03-11,Mean Girls,2024,https://boxd.it/p6nO,2.5,Comedy,673593.0
2024-03-11,Magic Mike's Last Dance,2023,https://boxd.it/y9g0,1.5,Comedy|Drama|Romance,906221.0
2024-03-11,The Hunger Games: The Ballad of Songbirds & Snakes,2023,https://boxd.it/pZCY,4.0,Science Fiction|Action,695721.0
2024-03-11,The Marvels,2023,https://boxd.it/mwU4,3.0,Science Fiction|Adventure|Action,609681.0
2024-03-11,Plane,2023,https://boxd.it/o0lq,0.5,Action|Adventure|Thriller,646389.0
2024-03-16,Drive-Away Dolls,2024,https://boxd.it/A8vi,2.0,Comedy|Crime,957304.0
2024-03-23,13 Going on 30,2004,https://boxd.it/1X6e,4.0,Comedy|Fantasy|Romance,10096.0
2024-03-24,Just Go with It,2011,https://boxd.it/Doq,3.5,Comedy|Romance,50546.0
2024-03-27,Ballerina,2023,https://boxd.it/AiNG,2.5,Action|Thriller,961268.0
2024-03-29,Notting Hill,1999,https://boxd.it/2aeK,4.0,Romance|Comedy,509.0
2024-04-01,Kimi,2022,https://boxd.it/u7LW,3.0,Thriller|Mystery|Crime,800510.0
2024-04-27,The Cat from Outer Space,1978,https://boxd.it/1Fce,3.0,Comedy|Family|Science Fiction,19378.0
2024-04-27,The Emperor's New Groove,2000,https://boxd.it/1Tey,4.0,Adventure|Animation|Comedy|Family|Fantasy,11688.0
2024-04-28,Immaculate,2024,https://boxd.it/Douw,2.5,Horror|Mystery|Thriller,1041613.0
2024-05-06,Late Night with the Devil,2023,https://boxd.it/zo6G,3.5,,
2024-05-07,Kill Bill: Vol. 1,2003,https://boxd.it/70w,4.5,Action|Crime,24.0
2024-05-10,Goal!,2005,https://boxd.it/1XRY,3.0,Drama|Family,9763.0
2024-05-12,Freeheld,2015,https://boxd.it/9OzM,3.5,Romance|Drama,306745.0
2024-05-15,Moonlight,2016,https://boxd.it/d6bE,4.5,Drama,376867.0
2024-05-15,Abigail,2024,https://boxd.it/G0NA,3.5,Horror|Thriller|Comedy,1111873.0
2024-05-21,Challengers,2024,https://boxd.it/zld0,4.5,Drama|Romance,937287.0
2024-05-21,Little Women,2019,https://boxd.it/aSVk,5.0,Drama|Romance,331482.0
2024-05-23,Coherence,2013,https://boxd.it/6xza,3.5,,
2024-05-27,Civil War,2024,https://boxd.it/z1jW,3.5,War|Action|Drama,929590.0
2024-05-31,Kung Fu Panda,2008,https://boxd.it/1Yws,4.0,Action|Animation|Comedy|Family,9502.0
2024-05-31,The Edge of Seventeen,2016,https://boxd.it/d5nu,4.0,Comedy|Drama,376660.0
2024-06-06,D.E.B.S.,2004,https://boxd.it/2aaS,4.5,Action|Comedy|Romance,540.0
2024-06-08,Sinbad: Legend of the Seven Seas,2003,https://boxd.it/1Oa2,2.5,Action|Adventure|Animation|Family|Fantasy,14411.0
2024-06-10,Am I OK?,2022,https://boxd.it/nPqY,3.0,,
2024-06-11,The Young and the Damned,1950,https://boxd.it/29AA,4.0,Drama|Crime,800.0
2024-06-15,What Keeps You Alive,2018,https://boxd.it/ic9Y,2.5,Horror|Thriller,503752.0
2024-06-18,Prozac Nation,2001,https://boxd.it/1KxG,3.0,,
2024-06-29,The Retreat,2021,https://boxd.it/uXiM,2.5,Thriller|Horror,821390.0
2024-07-01,Victoria,2015,https://boxd.it/amSe,3.5,Crime|Thriller|Romance,320007.0
2024-07-10,When Evil Lurks,2023,https://boxd.it/rXBe,4.0,Horror|Thriller,744857.0
2024-07-12,Killer Sofa,2019,https://boxd.it/nhaC,0.5,Comedy|Horror,628446.0
2024-07-14,Rocky,1976,https://boxd.it/28Uk,4.0,Drama,1366.0
2024-07-17,Heartland,2016,https://boxd.it/e7Ki,2.0,Drama|Romance,402025.0
2024-07-26,The Maze Runner,2014,https://boxd.it/5YPM,3.5,Action|Mystery|Science Fiction|Thriller,198663.0
2024-08-03,Dune,2021,https://boxd.it/fA7G,3.5,Science Fiction|Adventure,438631.0
2024-08-05,Mamma Mia!,2008,https://boxd.it/1Tnq,4.0,Comedy|Romance,11631.0
2024-08-05,The Aristocats,1970,https://boxd.it/1X3Y,3.0,Animation|Comedy|Family|Adventure,10112.0
2024-08-08,The Iron Claw,2023,https://boxd.it/w5Pm,4.0,Drama|History,850165.0
2024-08-08,MaXXXine,2024,https://boxd.it/CIM4,3.5,Horror,1023922.0
2024-08-10,A Quiet Place: Day One,2024,https://boxd.it/sDAi,4.0,Horror|Science Fiction|Thriller,762441.0
2024-08-12,A Walk to Remember,2002,https://boxd.it/1WLq,3.5,Drama|Romance,10229.0
2024-08-13,The Help,2011,https://boxd.it/EDm,5.0,Drama,50014.0
2024-08-13,Capernaum,2018,https://boxd.it/iM3s,5.0,Drama,517814.0
2024-08-15,The Babysitter,2017,https://boxd.it/eP1w,2.5,Comedy|Horror,419479.0
2024-08-17,Stand by Me,1986,https://boxd.it/2aOe,4.5,Drama|Adventure,235.0
2024-08-17,Die Hard,1988,https://boxd.it/2a7u,4.5,Action|Thriller,562.0
2024-08-18,Nine Queens,2000,https://boxd.it/1HBA,5.0,Crime|Thriller|Drama,18079.0
2024-08-19,The Terminal,2004,https://boxd.it/2a2O,4.5,Comedy|Drama,594.0
2024-08-21,Girls' Night Out,2015,https://boxd.it/8vQi,3.0,Comedy,278736.0
2024-08-21,Thesis,1996,https://boxd.it/1Z1U,3.0,Horror|Thriller,9299.0
2024-08-22,Spaceman,2024,https://boxd.it/nC20,3.0,Science Fiction|Adventure|Drama,636706.0
